C: Phosphatase	C: Kinase	N: NumberPSM	T: Index	T: Gene	4Hr-AGB1.01	4Hr-AGB1.02	4Hr-AGB1.03	4Hr-AGB1.04	4Hr-AGB1.05	24Hr-AGB1.01	24Hr-AGB1.02	24Hr-AGB1.03	24Hr-AGB1.04	24Hr-AGB1.05	4Hr-Cis.01	4Hr-Cis.02	4Hr-Cis.03	24Hr-Cis.01	24Hr-Cis.02	24Hr-Cis.03
		37	P06493	CDK1	67243897	70886128.38	67463320.84	69422500.78	73508105.28	81641536.59	80690752.04	78050254.47	74751541.78	73253786.56	62640830.31	66074945.77	66052049.91	74065584.7	75816052.18	76000206.36
		89	P06576	ATP5F1B	204029143.4	195744970.7	202788415.7	196043694.6	194244700.8	224338190.6	217780569.4	225663836.7	229353868.4	237047346	198628857.9	195500898.9	198987146.2	232088532.5	234091936.6	226887203.2
		10	P06703	S100A6	373776337.8	259129854.9	301378236.9	266525808.6	302718163.4	179101229.5	233007314	198298702.9	183283287.5	239292510.1	434114388.5	344326028.2	318451847.3	270808916.5	227974939.2	274094853.7
		18	P06730	EIF4E	38224651.17	38586691.13	39212220.37	42207615.75	43647630.48	36797387.31	38360016.36	36812694.1	37349872.96	36756600.33	40138962.75	37800448.07	39526037.61	37109880	37050765.13	35509457.9
		6	P06731	CEACAM5	5986577.394	7675876.133	6432731.314	4736861.306	5572525.953	6316526.508	5384197.872	6460883.363	7174266.963	7526772.837	6557888.764	5819242.755	5824488.787	6357376.058	6663736.853	7118786.977
		223	P06733	ENO1	769848861.8	738078999	773593268.4	677290725.8	724796124.3	897228371.4	915636669.3	916652706.2	929899781.8	938381935.6	715809276.7	771451383.1	691426185	890228223.9	921558174.7	873480345.5
		59	P06737	PYGL	14199137.87	12877060.81	13378379.13	13957139.91	14347539.4	17163018.86	17681042.44	17585706.99	17392958.3	17826251.14	13533203.03	14193233.84	14551857.65	17811429.84	17529724.66	17064561.42
		130	P06744	GPI	320466875.1	335584304.3	358674515	320800244.4	345928826.8	348479850.7	362599074	370243713.8	363328677.2	374165162.9	351195714.6	356913690.4	361896019.8	369372187.7	358003884.4	344182856.8
		7	P06746	POLB	1696464.723	1515539.475	1609632.601	1479317.198	1627921.836	1663741.656	1560741.307	1735836.939	1786246.805	1674269.105	1460772.419	1588022.585	1551572.844	1708738.266	1768628.976	1715978.445
		87	P06748	NPM1	518942696.9	491528558.3	480179975.3	477623969.8	483754553.4	455760293.7	433994043.2	418281804.4	425003652.8	420054126.8	477259938.6	485736951.5	474094692.1	426626990.6	437012710.4	433994043.2
		27	P06753	TPM3	106908402.1	104875322.1	99949776.14	101330974.6	104418348.1	104991697	107569959.5	104809917.8	103876927	106501610.1	98008259.53	93820509.52	96679052.61	101323951.1	95367872.66	107838717.3
		63	P06756	ITGAV	22192979	22801098.57	22126930.57	20001432.59	21493543.29	25128130.42	23654314.23	25924269.48	23288267.82	25357338.63	21162401.25	20475566.05	22285469.2	23931375.75	22228388.12	23009080.58
		20	P06865	HEXA	17293181.78	16263111.86	16875185.2	16843632.87	16791176.7	20011139.7	20745570.56	21801136.36	21926922.43	23117787.58	17282397.1	17966424.62	18124024.37	22832729.52	21380614.76	22733240.32
		50	P07099	EPHX1	224945458.6	202100829.2	197188476	167304383	174856962.3	166771786.3	139356011.7	151506032.8	158093191.9	163566266.5	172222691.6	181865922.6	180697336.5	147526613.9	160834314.3	169592837.5
		15	P07108	DBI	80183385.7	65165272.47	68747313.44	77334026.76	86668235.68	121341684.2	120294880.1	116036223	133161335.1	140597919	106118430.3	86926938.55	76079266.44	133457024.2	135301256.8	128696716.1
		102	P07195	LDHB	703902319.9	620131958.6	655127287.3	633645195.4	680820859.9	706884859.1	723039889.1	724796124.3	731711656	723792039.7	684986350.8	689416219.7	662479237.8	734913901.2	718145036.9	688699791.8
		2	P07196	NEFL	521750.3002	469739.048	422004.8342	417061.3225	448609.299	145091.1502	166908.7427	153310.8206	169109.7131	150030.8855	433929.1561	384520.2363	407065.097	162660.0007	164337.2495	183637.3509
		19	P07199	CENPB	3205237.877	3291240.451	2757825.991	3288959.928	3232681.629	3452954.756	3359464.839	3223731.147	3459902.614	3156950.042	3156731.227	3199910.226	3175164.705	3094124.891	3294892.579	3056607.762
		3	P07203	GPX1	592312.9076	463143.5833	615969.7598	498419.1589	493811.1888	515531.1226	518254.0644	497763.183	542325.6949	557340.7058	460135.7421	540374.4735	565081.7223	700584.7213	621416.0593	613158.2748
		3	P07204	THBD	715900.7175	818089.977	339770.2473	586552.2079	732667.9592	292951.0306	325004.4621	260243.0301	394482.0146	304292.6582	732718.7456	717092.6476	563790.6396	344656.5721	489245.8202	307345.1088
		5	P07205	PGK2	4062115.978	3978518.84	4372721.394	3760778.742	3765473.862	2537541.524	2946968.073	3178247.4	3026670.094	3064032.141	3981277.495	4170821.097	3554462.54	3455348.991	2808561.571	3529176.126
		5	P07225	PROS1	565826.4137	551346.5931	574043.285	575557.2847	635529.6902	732718.7456	711892.5609	666848.7265	673724.8557	774872.8122	675314.4958	553913.0489	632015.3182	621243.79	648164.284	718734.7924
		106	P07237	P4HB	296303412.3	300210667.3	305288922.3	283465909.2	279001956.9	251904211.3	250146842.3	250181522.4	259759271	268528504.8	279485849.6	295933955.5	293238644.3	262637922.1	266119686.8	265898426.7
		14	P07305	H1-0	72130195.59	87204545.44	76975713.55	78023209	91078045.73	17710480.27	21599581.14	18522814.58	21229984.76	22004572.38	80305752.53	67702229.12	79623999.29	22978798.03	27252778.72	22758466.28
		4	P07311	ACYP1	4909347.982	5590709.686	4813316.966	4984440.011	5875173.394	8417147.685	8577346.667	8665790.93	7850210.995	8161483.603	4781063.048	4666469.385	5257698.562	8029061.871	7628669.336	7805177.442
		37	P07339	CTSD	83623204.86	79002775.35	85575827.38	85238389.55	79811870.49	72455908.25	79041117.04	79370524.31	79629518.6	79623999.29	84024108.81	87301312.02	83710194.86	86620189.93	83131966.31	81828496.01
		203	P07355	ANXA2	760303399.1	785317061.5	709289819.6	681245710.5	713481113.6	821850077.8	800873976.1	843550968.6	807395329.2	833438208.4	714223320.5	744089025.5	703122100	815155469	828427382.7	804601953.6
		53	P07384	CAPN1	58195327.98	61709958.99	58114708.02	57270942.1	59624420.35	74137493.27	72526254.03	73238555.45	72420760.95	73968106.03	61338944.26	59101851.87	60590992.43	74322721.78	73497915.6	72742743.38
		29	P07437	TUBB	471440349.5	477127632.3	480612856.3	458548788.4	452392571.8	595571715.9	568624098	564657184	534828090.3	568545275.4	454246450.4	473536371.5	448241194.1	559320512.6	542745267.4	521466741
		6	P07478	PRSS2	312330885.6	320067289.1	362372943.5	283524860.4	363026594.6	10075164.09	13012546.65	7884566.467	12059777.88	13604682.95	327745333.9	338668836.8	358177631.1	12915498.57	8223949.643	10658492.01
		19	P07602	PSAP	49781280.34	40334191.46	43064627.01	54050326.61	49612488.95	29518171.07	28327501.01	27478501.59	28738869.98	32909482.4	61351700.66	45114879.61	42333604.6	37243878.91	37463958.26	39495912
		27	P07686	HEXB	23539820.77	20839249.7	22342696.86	23098566.74	22316384.84	24864774.3	23664153.83	24876841.69	25023842.47	25147296.96	22818490.17	21514410.88	23218959.71	25786274.19	25168222.6	25989039.86
		12	P07711	CTSL	12785453.52	12359353.98	12535359.19	11059631.65	11227240.18	14626690.09	14099102.57	14158842.57	15785536.96	12918184.55	12489392.77	12937898.82	12451360.06	15028524.12	14066889.34	12681306.04
		60	P07737	PFN1	450983684.4	500050999.5	482281423.3	420666006.6	468605939.7	679406603.7	685128804.5	725751294.9	704927672.6	690611922.6	479548004.3	492346922.7	509003381.6	687841061	672379267.7	649070523.9
		20	P07741	APRT	64223591.07	65541256.71	71825858.7	57358342.54	61577501.69	101127491.1	101965085.9	105334295.9	103209462.1	107473072.8	70959868.48	65709562.46	62303073.52	100805561.9	95685700.15	100735713
		143	P07814	EPRS1	50525207.3	53732811.82	54305688.8	48672380.47	55739626.52	48882000.74	50647931.02	52879309.41	49554062.49	52732899.9	51572548.38	52035757.23	53953005.77	52227271.52	51106377.55	50141436.75
		23	P07858	CTSB	32501433.16	27877541.48	29653519.32	30761019.86	32223279.61	28485018.35	27831204.26	27472788.19	29334600.32	27166022.24	29944755.15	32025105.78	31207728.14	29571416.18	30215804.11	29684366.73
		272	P07900	HSP90AA1	888009580.1	852367296.4	869192207.7	884446723	896047517.7	1003295890	976198977.7	977011295	939944283.1	926104658.6	876452096.5	913038212.3	899470047.9	952339017.2	983397877.2	934228359.9
		6	P07902	GALT	3743353.854	3453433.47	3483002.312	3317810.369	3362726.466	2506425.636	2695459.87	2458931.304	2742005.435	2551828.601	3404708.845	3730920.013	3467345.094	2497407.823	2720423.823	2658350.677
		46	P07910	HNRNPC	236833840.9	245406802.6	231301599.2	233735236.3	231157350.8	296139152.4	252813804.3	255084500.6	272805974.7	252358598	235393623.6	250841359	188449143.9	256769748.6	258609494.2	293706509.5
		8	P07919	UQCRH	42874009.32	38267067.18	38976467.31	40367754.45	44691588.86	26108206.15	26974633.08	20276425.38	20852253.96	23369118.83	43593206.82	30835737.16	35781238.78	25730925.26	26582989.09	23642839.87
		60	P07942	LAMB1	19883935.6	19403317.45	21380614.76	20178281.84	18398693.66	13321008.74	14384382.96	13485446.93	13238166.63	13606569.09	19401972.56	19778093.1	18847894.07	14033776.93	14001712.96	15340051.6
		25	P07951	TPM2	57873517.63	54009131	50493697.86	50085858.95	56259757.56	41027843.79	34858327.14	40931267.3	39422064.63	38809324.86	50577766.72	51780300.43	48205686.31	37601841.97	35890532.69	35585841.1
		43	P07954	FH	65074996.8	65473147.51	69019467.15	63859592.01	67472673.89	72732659.79	69215892.79	69244684.86	70792834.24	74793004.33	64116840.52	68357675.34	67688152.3	74679037.62	73742858.24	70094601.49
		6	P07992	ERCC1	1914850.063	2042068.74	1802665.142	2037826.789	1971141.617	1785999.196	1747789.488	1785999.196	1615892.732	1751427.696	1794685.975	1810679.784	1787361.471	1505801.322	1618358.725	1839522.638
		18	P07996	THBS1	3165495.689	2179249.579	2576176.485	3626634.691	2969111.826	3002847.961	2833787.212	2437718.319	2781438.932	2784139.367	3290556.128	2428274.353	3538238.825	2789548.105	2843822.52	2569934.216
		10	P08047	SP1	3753486.855	3824924.924	3995099.489	3768084.794	3808786.527	1583296.478	2207374.523	1968683.826	1882997.952	2046603.22	3565072.537	3475285.327	3764429.996	2037261.862	1922963.569	2446181.464
		1	P08123	COL1A2	559275.6526	313216.3504	420078.6678	423000.546	624654.9668	693146.1253	557070.348	495422.5461	636896.7568	660271.569	548297.7394	474615.6016	440566.4165	594039.7721	583106.5488	570275.6866
		47	P08133	ANXA6	15116281.98	15115234.23	16029210.13	14333623.21	15753837.9	16298094.89	16400085.5	17053919.31	15787725.45	16750490.43	15144598.55	15266859.67	15433907.19	16506146.34	15922902.44	16295835.66
		2	P08134	RHOC	8829498.09	7157875.401	8505708.604	6450591.38	8416564.273	13435996.6	11870686.21	12101646.4	13206089.57	12149553.84	9777945.951	9211470.162	9249859.363	12320863.21	10852318.81	12087394.82
		15	P08174	CD55	8435253.529	10287577.76	9505295.188	7826305.52	7470120.062	2817140.331	2466271.163	3256069.357	3031078.951	3722911.782	7682263.403	7067164.207	7117800.172	3173844.466	3229098.458	2876533.817
		65	P08195	SLC3A2	232797447.7	216261258.5	233459976.5	228544522.3	241642671.4	323165959.6	311056195.4	333821121.8	314983278.2	324287910.5	234416682	241642671.4	228053963	315354657.6	339162165.2	317504104.2
		10	P08236	GUSB	5116763.067	4650324.628	4656453.045	5823277.745	4973741.163	5161289.057	4298792.371	4495032.138	4655807.568	4770139.411	6025710.789	5896796.596	5258791.983	4624288.574	4964441.524	4956189.777
		35	P08237	PFKM	23256005.79	23515358.65	22981983.79	22470050.02	24452862.09	21297784.11	22772668.18	21644542.94	22120796.54	20672363.39	23260842.24	24184845.74	23974543.35	21218215.62	23769364.57	22345794.43
		156	P08238	HSP90AB1	612740087.7	620777058	587290882.6	574606869.6	550703295.1	605310442.9	594334546.1	628004649.8	581780620.8	605982126.1	557694576.4	615976469.6	568545275.4	601838016.6	586192797.1	587698102.7
		28	P08240	SRPRA	6753949.68	5671111.143	5868254.46	5857688.317	6010693.397	5989897.978	5771440.432	6272460.283	5916448.54	6148486.959	5883731.577	6386526.227	6258996.765	6004863.413	5934931.714	5814404.457
		47	P08243	ASNS	99252492.71	105765949.7	117786585.4	95871588.45	113184408.9	145404834.8	140763690.2	144851561.9	136185701.7	148645443.6	108370736.8	110280311	111788768	127807742.9	145879306	138192109.3
		1	P08247	SYP	232214.7359	223699.1114	262162.1711	285870.0591	346140.9252	353855.2994	361240.4694	340265.1801	311333.2203	276668.7167	291129.1955	291573.484	354591.8864	405572.4135	330845.9285	335301.6368
		18	P08397	HMBS	8102299.588	7727123.363	8830722.203	7921817.31	8360165.083	7166811.605	6980505.095	7257292.564	7354521.249	7321460.306	7642959.739	8257078.556	8765469.885	7261821.311	7514782.926	7150437.077
		46	P08559	PDHA1	47249639.95	48679128.37	48062221.58	48861675.51	49833065.88	52776780.13	52784097.06	54399874.97	56150673.84	53729087.48	49396312.13	50162294.33	52831681.79	54016618.78	55836299.67	55596857.34
		3	P08572	COL4A2	3673693.919	4393380.432	2940234.924	3524531.332	3458703.71	2438732.349	3006180.073	2574569.883	2954535.699	2245647.415	3324947.2	3411796.104	3159577.012	2777200.682	2368759.01	2432148.689
		32	P08574	CYC1	71915529.24	70206438.13	74369101.17	78006986.21	75391576.27	75538039.24	78560457.75	82798425.63	76794518.45	80629251.86	71587283.53	70562581.19	71290178.63	79646078.81	86027823.36	87422421.27
		16	P08579	SNRPB2	28050049.87	25663240.23	22498102.61	22643599.88	23789143.59	17106010.56	15268976.25	16065917.08	15163505.72	15580087.5	19936378.11	21496523.13	22088620.73	13788861.43	16366017.91	15903048.38
		22	P08582	MELTF	44626582.7	39144329.61	33860501.38	41690056.74	39261174.61	21227041.87	20303146.61	22958101.36	20725448.7	19329486.82	34730503.73	36075098.55	37643566.88	19908759.57	23327041.33	24061112.28
		12	P08603	CFH	990913.7748	851944.5452	1029063.088	992494.7876	861326.0862	754311.0318	751180.4548	750347.8308	820247.633	884069.3381	1052800.027	1029705.251	1038881.736	942935.7853	851708.3688	831236.7999
		38	P08621	SNRNP70	78926147.77	80461762.25	77403743.19	80735508.9	79762096.79	64437625.66	67169362.47	70479482.72	72035264.11	69494718.33	75663805.37	82477656.21	76959708.56	67524138.85	65337141.39	72025278.6
		11	P08648	ITGA5	2074741.261	2331294.769	2527360.443	2125542.979	2727031.624	2677026.519	2410164.188	2771623.763	2343120.956	2519664.121	2622842.961	2219494.957	2590321.967	2364985.651	2510946.745	2569043.699
		11	P08651	NFIC	3432194.783	4256983.301	4328392.805	3939278.539	4259639.773	3724976.775	3795346.044	3886392.014	3617847.084	3886392.014	3939824.676	4151496.352	3990394.635	3434336.566	3756349.837	3459662.8
		116	P08670	VIM	111951607.3	132709830.4	114629251.3	110265024	109655277	98273561.14	89043070.09	91153833.84	95018164.36	88378983.37	98021847.3	102745502.3	96940756.15	81953373.42	86057643.5	85516531.29
		1	P08697	SERPINF2	8109603.791	2345558.415	2480672.755	6382100.958	2945742.718	8614884.359	6388297.193	5356280.189	7473227.444	7089733.66	3308853.53	2589962.897	3923201.486	8899544.089	8908184.452	5262803.141
		33	P08708	RPS17	40479832.93	44999324.22	45770033.12	42563103.11	41215966.78	43550924.23	44168056.01	43130347.38	39474016.89	44364427.02	43346134.28	45906655.71	38224651.17	45450725.89	47367690.61	39679760.99
		164	P08729	KRT7	2881354453	3255653465	2938229621	2736908391	2985033549	2910661656	2829892296	2837946015	3080035856	2986482247	2746981408	3003088822	2830480817	2754799167	2789191801	2882752834
		14	P08754	GNAI3	12508452.68	16103824.29	13869380.38	12399683.84	11201588.5	17731361.72	15112091.43	16888056.8	18438270.47	18237441.31	12799640.9	14103012.21	14492468.36	16627869.56	17230963.04	17210670.88
		60	P08758	ANXA5	215722288	231109288	207149916.8	183156289.2	193720313.2	281781176.6	267247275.6	295360160.3	282015653.1	290749203.8	214693013	204255544.5	203323256.2	297084892.2	274113853.2	295319217.5
		19	P08779	KRT16	2587988.902	3181333.087	4221428.944	3819361.379	4282435.243	3289187.909	2503300.406	2927423.419	2030917.211	2427432.924	7529381.87	2813042.659	2362691.768	2211202.927	3426489.891	5483630.76
		1	P08833	IGFBP1	193329.196	202575.4753	181398.1227	178084.2003	170829.7836	141898.5184	152188.5188	140362.6923	146607.5626	141662.6589	155526.4035	176511.1752	163043.7937	145282.3582	151221.1075	140061.4109
		1	P08842	STS	61257.54801	32638.79105	34135.84868	67140.70195	42292.08305	28319.33956	25020.10112	27510.6003	36830.15887	29440.20302	42303.81053	32321.35364	43889.85854	39068.00592	26886.60545	25058.28398
		35	P08865	RPSA	223283282.8	216321227.2	209968839.6	193720313.2	211473258.4	291516034.8	278789309.6	292203861	284489467.4	280650618.9	216216292.9	211722594.9	212295713.4	283603481.1	294685329.7	286627143.9
		2	P08910	ABHD2	395357.9748	287260.4797	316972.9055	327060.952	285414.6771	271444.9277	255985.0445	247968.9576	211002.4171	269925.1726	285216.9113	287798.5903	310320.6119	200410.6985	177099.4247	221969.2032
		11	P08962	CD63	12227278.55	11198483.19	13115777.53	12247636.2	10912664	5507247.442	6174967.017	5663647.321	6508979.772	7096125.036	14675435.7	13363550.26	14850415.9	4706750.668	6608539.326	6271156.098
		13	P09001	MRPL3	16259730.39	14822649.38	16460444.97	15835949.1	15666721.83	15927317.82	15182436.51	14479415.2	15484269.64	15099526.78	16198984.06	15937256.9	17048009.9	15648271.82	15812914.92	15907458.26
		26	P09012	SNRPA	48696002.19	49399736.14	49753683.38	45773205.76	53258187.67	49857250.9	46425045.88	49423710.85	47935794.22	50120587.85	44361352.02	50144912.41	46702615.11	48102215.25	48726389.81	46136332.85
		5	P09038	FGF2	3020173.5	2451273.448	2939827.349	2838898.818	3127763.501	2222419.912	2270376.294	2404990.893	2335014.374	2401992.141	2682784.981	2844019.646	2662961.241	2093375.953	1966365.393	2677954.467
		21	P09104	ENO2	17176110	16784194.9	15607109.14	17191594.22	16649782.55	17977636.15	17044465.23	17221410.81	17925375.44	18509979.99	17128553.67	16854143.76	16265366.56	16522171.77	18557512.44	17742426.57
		19	P09110	ACAA1	2918104.262	2368430.653	2487905.057	2585120.321	2534728.861	2452803.109	2485664.237	2448216.987	2448895.871	2637975.984	2459954.158	2659087.831	2497407.823	2677397.66	2633773.772	2480156.967
		8	P09132	SRP19	7068143.992	9520460.982	9792189.182	7567052.375	7032957.166	7750188.665	7187207.96	9765077.071	9988246.532	10555561.58	7460288.542	12765086.69	9217218.369	8403739.435	8524595.808	9916502.854
		72	P09211	GSTP1	408794345.5	409986169	400353728.2	407605986.6	408596045.4	586558597.3	582789643.8	593963896.5	575443881.6	558894214.6	431085859.8	431504391.2	419937679.2	574129123.8	597018335.9	574049538.1
		9	P09234	SNRPC	22950146.07	21345076.54	22417157.19	19990344.51	23761128.16	25516020.38	23909821.11	24559877.01	23486037.65	25332743.65	20885523.94	19314754.44	21305166.64	23608450.17	26518576.52	25700623.07
		2	P09237	MMP7	938371.7138	900146.3157	868219.3195	885357.1345	765424.2058	148407.0395	211060.9275	163371.862	201371.5016	221139.9266	962081.7751	842840.4332	884559.7062	194930.4574	208184.0478	200869.6397
		64	P09327	VIL1	39950216.9	35159226.6	38110890.95	35298413.34	35298413.34	30703504.53	29880480.25	32209881.11	33738675.45	35154352.83	38190222.78	38624154.06	37721925.92	35112953.09	36140171.08	33865195.77
		41	P09382	LGALS1	171472264.5	191000344.6	181613977.5	170110859.3	191278568.8	177876415.9	167710758.7	173060351.8	171009354	170405894.5	167955057.7	172664948.5	174747914.8	160689453.2	159668004.2	160344541.4
		15	P09417	QDPR	12162192.55	13612229.08	13516328.66	13130331.46	14304839.75	16355811.44	15257338.67	16194493.37	15751654.1	16631327.59	14145109.41	14863803.51	13744013.28	15742921.95	17266831.1	15698245.6
		37	P09429	HMGB1	130964449.3	121039274.1	125420679.5	122355185.1	122771461.4	136147948.2	129879635.5	137542287.1	133152105.4	129807634.9	126345584	123745429.5	137523221	130357649.2	133771913.4	128759175.2
		12	P09493	TPM1	45312319.27	39331994.21	38469186.88	35593241.74	37552353.71	49164035.34	36341131.41	44042712.85	40968166.73	44958793.98	31636792.42	37614876.04	32460907.55	38429210.45	42409966.28	38277678.53
		13	P09496	CLTA	111201422.3	111116667.8	107160650.3	98280373.18	114518068.4	41594804.49	56706076.35	46021351	48783840.41	50339934.38	105086346.8	100959400	107153222.7	56037917.23	53990416.11	66111595.66
		12	P09497	CLTB	30990012.48	31179619.79	27889137.84	31720232.28	33926282.07	18057564.65	19182667.28	18008816.03	18246292.32	16364883.54	26725248	29818410.1	31466208.14	18025050.93	19872912.66	21837433.89
		65	P09525	ANXA4	237721969.9	235752854.8	224151668.9	196098057	202605767.2	200593553.3	195027185.6	209939733.8	208171885.7	225444957.4	223624032.6	210990090.3	221694847.6	220209275.9	208995987	209736105.8
		2	P09529	INHBB	236421.2192	245608.3358	242950.0157	263894.1786	261998.6768	177948.4696	189573.7914	178096.5446	188904.8216	171387.2189	249624.4979	233959.6159	225411.2508	181284.996	180858.2646	185685.2895
		34	P09543	CNP	14372423.34	12719159.48	12881524.43	13346887.42	13162224.51	13881883.59	14174553.94	14232640.44	14671367.36	13805119.11	13227160.01	13735441.99	13805119.11	14564976.12	14714141.15	14077618.9
		17	P09601	HMOX1	14325677.16	13479839.66	15693893.73	14990030.68	13547281.1	11767463.15	12153765.29	12013057.09	13053198.26	12591091.35	13089439.63	14709042.5	13635837.73	11365044.52	11276374.8	12414303.62
		37	P09622	DLD	54672044.83	51226962	45773205.76	43286085.41	44226262.76	38256458.76	38118816.72	39206784.77	41367659.52	45290338.93	45890748.43	46796587.71	47203810.85	39778898.72	40696460.83	43376189.94
		2	P09629	HOXB7	177160.8133	168069.6849	207248.1934	240353.7855	185878.4508	198626.6943	200841.7952	212543.7042	203222.4134	168618.1137	208140.7616	188016.5325	201162.2403	217898.9925	175012.6889	186575.4965
		108	P09651	HNRNPA1	392631314.7	418978217.5	391001797.8	416574705.4	419937679.2	429922090.3	407351788.1	396679884.5	410725705.2	392087389.2	385351562.5	404594088.5	390974696.5	381709539.2	408256326	398029467.1
		32	P09661	SNRPA1	28351072.96	27660041.78	30027894.84	27294368.83	29942679.61	39638526.56	36984053.02	39834082.23	40125054.06	38328122.67	27893004.36	29448687.5	30150947.42	38095044.38	38640220.74	37035359.36
		14	P09669	COX6C	83983349.94	82523404.21	74451624.9	77559491.02	76986385.39	58705811.82	59517063.02	64899318.82	60788707.14	65133661.75	72415741.3	73375749.55	77629410.7	65427780.71	60582593.31	68206221.2
		1	P09871	C1S	80930.73066	77097.68923	62979.73209	116179.8221	66124.62431	#VALUE!	10958.78321	15923.83271	8809.839374	9096.526226	84619.35098	71175.8403	80099.18816	15149.68315	11276.25197	#VALUE!
		74	P09874	PARP1	48022261.17	44506107.73	45976713.26	49646889.62	48155591.9	52996729.65	52627006.54	51870106.64	53059215.16	48045567.37	48807516.22	52216412.29	47413678.82	52619711.4	52839006.32	51447584.24
		37	P09884	POLA1	1874403.341	2015211.738	1865718.632	1834938.144	1842968.523	1734754.406	1734153.29	1807043.744	1724802.807	1781671.586	1808171.388	1778956.743	1856430.661	1742467.117	1726836.426	1749850.21
		1	P09913	IFIT2	463625.3737	436705.1442	407714.5734	395686.9611	383057.1169	204635.937	214333.8219	208198.4785	237028.3338	221907.6688	405122.8687	434621.4944	398715.4543	203490.2295	200869.6397	228811.494
		3	P09914	IFIT1	1023514.422	844126.6811	822582.0131	842723.5988	865335.4615	692857.9139	738429.1603	658169.661	662609.7929	703455.6769	929116.5136	858346.1243	836960.4934	772352.5454	871595.9698	706387.3589
		53	P09936	UCHL1	214529380.2	213343068.9	205220555.2	191504094.8	200315664.2	230197990.7	246361230.8	237310385.8	234709338	228687140.2	205092571.9	205961579.7	211165660	235507865	231895567	214009559.5
		5	P09958	FURIN	895168.6584	875107.0597	1027067.806	1187914.853	1099182.874	1142925.551	1363610.327	1262979.682	1529681.643	1413558.344	1016162.712	1163145.382	1318165.421	1465843.853	1395741.172	1460367.463
		67	P09960	LTA4H	60927913.51	60151609.3	65011878.26	59964278.97	63524069.41	65436851.56	67885494.39	68045668.83	63506459.24	70832101	61458107.23	62614784.14	61156393.71	66143680.99	68680632.98	65029905.88
		19	P09972	ALDOC	30159308.19	31861260.32	29682309.24	32551033.18	30161398.75	46396093.46	46806319.79	44905847.98	44620396.57	42190065.75	32154113.98	32223279.61	32825189.41	40550039.95	44965027.02	44223197.34
		7	P0C0L4	C4A	3520380.646	1205249.165	1560741.307	3379316.392	1903469.47	2664623.001	2556431.609	2137954.916	2484114.083	1953053.447	2488077.511	1886656.046	2545821.786	2985621.811	3018080.801	2030776.444
		32	P0C0S5	H2AZ1	517541747	672239464.9	608802904.2	583517223.8	625094903.9	776548074.1	808123194.1	835115209.8	847653849	782220443.1	589003105.6	605310442.9	632548122.8	733692349.1	684748993.8	724193506.5
		4	P0C0S8	H2AC17	52608770.57	72145196.2	79282548.38	39255732.23	48780459.09	66276771.9	46197133.49	59344047.83	66950894.73	80892353.51	35049730.12	67379201.7	40130616.95	41872508.1	41350458.77	36060098.46
		3	P0C1Z6	TFPT	504012.5039	487992.6862	595111.3056	486034.7701	519548.894	737252.866	698354.4805	781074.1558	676579.5284	691322.809	536084.1667	530980.7377	552302.8322	774121.2357	605849.5292	709823.1002
		4	P0C2W1	FBXO45	1044007.033	1129536.923	986664.4478	966627.1559	973822.9667	782374.5957	663437.0238	694107.6962	871716.807	665232.9022	918232.5189	1002937.31	996561.9738	715355.0785	754886.3846	778479.7573
		1	P0C7M7	ACSM4	429828.0176	313259.7744	334489.1758	337049.2758	371087.531	353365.0917	344107.545	355182.2598	412432.9296	424940.1099	362469.4801	390293.5242	387651.306	409612.4385	364990.6547	411947.2254
		7	P0C7P0	CISD3	14059091.16	14560938.41	13026986.03	12712108.43	14444330.5	4423938.809	5540174.549	3779594.421	4829023.321	4795334.421	14340579.61	12895818.43	13299788.8	5503049.976	4950353.089	6875818.347
		4	P0C7T5	ATXN1L	966493.1622	850233.7487	910121.7331	789237.5106	901832.5145	741352.4198	688215.0901	709872.303	780100.2447	692521.8187	987211.7224	919187.7208	879363.4233	709134.6176	679305.0247	784329.3162
		1	P0C870	JMJD7	157872.4603	150656.1457	174685.4595	118760.8666	136628.6015	98095.54516	84279.84264	89779.59701	109562.9127	121205.8662	131901.3678	132708.3847	133677.7657	93152.05655	99334.0009	101611.2067
		11	P0CAP2	POLR2M	931696.146	1162581.157	1056601.549	1184461.603	1305616.713	914041.4091	1063950.794	1148962.276	1043572.933	922187.1261	1073953.427	1068162.714	1015881.011	1015528.994	930211.9835	963549.9957
		10	P0CG12	DERPC	3181112.582	3263525.768	3258552.933	3114134.877	3207682.681	3783788.451	3806147.392	4025677.023	3855535.978	3787724.58	3292837.759	3352951.072	3065731.672	3529176.126	3341350.742	3757391.463
		4	P0CG13	CHTF8	635749.9862	567712.1136	463528.9755	513391.5411	514175.0213	573725.056	599333.7116	558462.158	561217.317	572969.9692	554989.134	509845.2867	428340.9257	596598.1589	618022.5699	548830.0691
		3	P0CG38	POTEI	2351255.683	2422390.463	3177366.325	4536348.351	1968001.651	3493399.001	3819096.65	3655152.072	2786262.977	2872349.754	1987605.488	2108082.65	2498619.867	3074882.817	3806147.392	3226637.332
		18	P0CG39	POTEJ	5338858.937	4560308.52	4942124.76	5492760.664	5711744.441	19132207.4	17872027.81	16852975.56	18754064.97	15646102.66	5512594.302	6139969.251	5939870.305	16138464.68	21077493.81	16063690.03
