DMSO.01	DMSO.02	DMSO.03	MK-2206.01	MK-2206.02	MK-2206.03	14H.01	14H.02	14H.03	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
15535873.25	15669979.97	15392241.46	14055193.7	15400779.09	15235146.11	16203476	15493932.24	15863414.5				12	11	11	32.4	30.5	30.5	40.746	0	43.551	2724300000	33	P55039	P55039	Developmentally-regulated GTP-binding protein 2	DRG2	2967
320911444.6	310022998	318010685.2	282759450	317020303.6	316866521.7	323076371.3	306561227.1	330208038.4				39	39	39	42.6	42.6	42.6	107.78	0	323.31	67075000000	196	P55060-3;P55060;P55060-4;P55060-2	P55060-3;P55060;P55060-4	Exportin-2	CSE1L	2969
1802540.195	2067849.847	1965275.311	1366259.408	1870769.004	1668245.29	1546204.81	1587582.353	1896226.67				3	3	3	10.5	10.5	10.5	26.537	0.0001108	2.7811	624220000	3	P55061;P55061-2	P55061;P55061-2	Bax inhibitor 1	TMBIM6	2970
265015224.4	284252934.1	275389822.1	253024176.4	268994232.6	275313478.4	277247651.7	264006827.7	278499597.2				60	60	60	67.2	67.2	67.2	89.321	0	323.31	1.0244E+11	300	P55072	P55072	Transitional endoplasmic reticulum ATPase	VCP	2971
62203826.7	65147207.32	65359789.44	58235679.89	62376531.64	66042893.78	64903817.45	63168413.37	66571438.17				31	31	30	58.1	58.1	56.5	51.958	0	323.31	15610000000	66	P55081	P55081	Microfibrillar-associated protein 1	MFAP1	2972
670417.3686	656665.8937	593751.6122	642038.3727	638753.6038	606311.6425	732211.0397	648209.2129	566964.9404				3	1	1	18.5	9.3	9.3	24.076	0	27.951	323280000	6	P55082-2;P55082	P55082-2;P55082	Microfibril-associated glycoprotein 3	MFAP3	2973
75302790.91	76269346.37	78620379.94	76459901.19	77958338.1	78522349.22	78860526.14	75501396.84	79041117.04				22	22	22	43	43	43	51.294	0	125.93	30292000000	108	P55084;P55084-2	P55084;P55084-2	"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase"	HADHB	2974
42451141.14	40278315.13	42616240.74	36715858.55	42404087.42	42175446.32	42557203.02	41881216.14	42651702.68				9	9	9	44	44	44	20.7	0	74.013	23102000000	45	P55145	P55145	Mesencephalic astrocyte-derived neurotrophic factor	MANF	2976
8436.915869	12583.102	14420.16448	10504.3553	8814.725941	13567.80763	13717.21518	13156.60832	12530.01047				83	2	0	47.9	1.6	0	206.8	0	133.78	691190	1	P55196;P55196-5;P55196-6;REV__Q8IY82-2;REV__Q8IY82	P55196;P55196-5;P55196-6	Afadin	MLLT4	2978
192753.8299	159235.2262	194822.3949	149066.8566	172627.1671	172208.8786	191263.2274	175595.9445	175632.4625				82	1	1	47.4	1.1	1.1	205.6	0.00032566	2.3863	40071000	3	P55196-1	P55196-1	Afadin	MLLT4	2979
59508812.78	56135107.72	59587236.3	54162838.05	57513607.63	58925959.11	60987067.02	61029354.69	58118736.36				84	84	0	49.5	49.5	0	197.65	0	323.31	21128000000	185	P55196-3	P55196-3	Afadin	MLLT4	2980
2281735.29	2239740.254	2421886.794	2130262.816	2253756.153	2295218.387	2289974.337	2313587.128	2434172.535				10	10	10	10.5	10.5	10.5	113.32	0	27.872	1409400000	13	P55197;P55197-1	P55197;P55197-1	Protein AF-10	MLLT10	2981
599167.564	628302.5893	609894.4238	546135.7224	550544.6318	516353.6576	476626.6187	456735.6891	543906.8237				4	4	4	3.1	3.1	3.1	112.07	0	10.457	189710000	5	P55198	P55198	Protein AF-17	MLLT6	2982
3588128.184	3874288.613	3825985.565	3746468.784	3835278.732	3724976.775	3668096.085	3586884.849	3807202.826				13	13	13	21.9	21.9	21.9	68.264	0	68.654	1354300000	22	P55199	P55199	RNA polymerase II elongation factor ELL	ELL	2983
6360461.424	6242965.23	6641602.733	5703436.422	5982429.252	6100093.816	6438084.136	6042440.788	6345929.223				26	25	25	24.5	23.9	23.9	127.36	0	323.31	2015800000	34	P55201-4;P55201-3;P55201;P55201-2	P55201-4;P55201-3;P55201;P55201-2	Peregrin	BRPF1	2984
73000347.71	78359236.24	81528435.8	86650215.4	78446187.62	77200133.15	82175215.56	79739985.1	81156313.68				14	12	2	43.5	40.5	13.6	42.761	0	323.31	63624000000	95	P55209-2;P55209	P55209-2;P55209	Nucleosome assembly protein 1-like 1	NAP1L1	2985
3283265.53	1703652.898	1838502.873	1665126.093	3394811.408	1963913.558	1798047.87	1857717.887	1713957.612				9	9	9	46.9	46.9	46.9	34.276	0	83.448	520390000	18	P55210;P55210-4;P55210-3;P55210-2	P55210;P55210-4;P55210-3	Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11	CASP7	2987
2825353.59	2777585.71	2934940.856	2589424.386	2927829.275	2873345.407	2945538.542	2859834.045	2851520.552				12	12	12	42.7	42.7	42.7	33.31	0	64.583	1024900000	24	P55212;P55212-2	P55212	Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11	CASP6	2989
20373634.03	18915951.34	20576581.73	18296951.98	20307368.97	18783987.27	20012526.81	19353618.59	21097957.47				17	17	17	48.6	48.6	48.6	40.545	0	58.478	4104100000	56	P55263;P55263-3;P55263-2;P55263-4	P55263;P55263-3;P55263-2;P55263-4	Adenosine kinase	ADK	2990
77226893.32	82346271.91	80172270.69	74793004.33	78958979.06	76634994.65	79150767.28	74394880.01	79834002.11				52	52	52	46.3	46.3	46.3	136.06	0	323.31	31882000000	208	P55265;P55265-4;P55265-5;P55265-2;P55265-3	P55265;P55265-4;P55265-5;P55265-2;P55265-3	Double-stranded RNA-specific adenosine deaminase	ADAR	2991
6402482.616	5196468.228	6752077.347	5451039.712	6638841.142	6348128.935	6868197.048	6629184.615	6342850.905				29	29	29	22.3	22.3	22.3	195.98	0	323.31	2565000000	56	P55268	P55268	Laminin subunit beta-2	LAMB2	2992
416743.4503	410379.7449	386765.6113	334118.4211	351752.2192	384813.5302	431709.1065	392953.7516	387248.4664				1	1	1	3.7	3.7	3.7	52.352	0	19.421	71828000	3	P55316	P55316	Forkhead box protein G1	FOXG1	2993
10129783.47	9770493.481	10179052.92	9527722.739	9883564.419	10339047.89	10096136.6	10336181.69	10326872.05				14	14	14	80.4	80.4	80.4	19.863	0	323.31	4389700000	38	P55327-2;P55327;P55327-3;P55327-4;P55327-7;P55327-5;P55327-6;P55327-8	P55327-2;P55327;P55327-3;P55327-4;P55327-7;P55327-5;P55327-6	Tumor protein D52	TPD52	2994
931889.9069	879912.1699	994147.2296	848820.5154	886278.1374	899647.3069	941107.4989	912964.9825	907224.4523				2	2	2	10.8	10.8	10.8	31.193	0.00011055	2.7238	56288000	3	P55345-7;P55345-4;P55345;P55345-6;P55345-2;P55345-5;P55345-3	P55345-7;P55345-4;P55345;P55345-6;P55345-2;P55345-5;P55345-3	Protein arginine N-methyltransferase 2	PRMT2	2995
11371.22452	13376.37891	12850.17156	7964.124174	10266.80736	11886.20049	11256.72863	13568.74812	16642.67825				3	3	3	11.1	11.1	11.1	44.628	0	17.205	54674000	3	P55347-2;P55347;Q96KN3-2;Q96KN3	P55347-2;P55347	Homeobox protein PKNOX1	PKNOX1	2996
104107589.2	106686323.3	111703565.9	97284053.06	107928452.3	103531891.7	110051227.8	110272667.2	108837463.6				16	16	16	46	46	46	35.54	0	323.31	22937000000	84	P55735;P55735-2;P55735-3	P55735;P55735-2;P55735-3	Protein SEC13 homolog	SEC13	2997
1718358.946	1650417.965	1737642.664	1495918.348	1540214.657	1533822.386	1804790.565	1626004.704	1680780.618				6	6	6	53.1	53.1	53.1	14.173	0	57.288	934780000	18	P55769	P55769	"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed"	NHP2L1	2998
104129240	100442875.8	103869727.1	92164000.22	101908560.2	107168078.3	109200180.5	104367696.3	106250913.2				44	44	44	47.2	47.2	47.2	103.28	0	323.31	34258000000	158	P55786;P55786-2;A6NEC2;A6NEC2-2;A6NEC2-3	P55786;P55786-2	Puromycin-sensitive aminopeptidase	NPEPPS	3001
3324025.456	5925888.293	3302437.895	3500428.239	3064032.141	3245479.021	3375804.673	3331868.427	3157387.719				4	4	4	23.9	23.9	23.9	23.449	0	89.32	937530000	11	P55789;P55789-2	P55789;P55789-2	FAD-linked sulfhydryl oxidase ALR	GFER	3002
49536891.34	53040829.43	49014320.95	44927641.72	48675754.3	47882661.2	47819642.21	44195618.07	47223446.45				19	11	11	48.8	29.2	29.2	49.263	0	179.4	8216200000	43	P55795	P55795	Heterogeneous nuclear ribonucleoprotein H2	HNRNPH2	3003
11350086.84	12223888.9	12181597.45	10390775.53	10457248.75	10351955.61	11145051.91	10553366.84	11416364.76				10	10	10	21.9	21.9	21.9	56.157	0	100.6	1575700000	21	P55809;P55809-2;Q9BYC2	P55809	"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"	OXCT1	3004
102296.6943	105530.4638	122108.1526	83361.86881	98252.05758	105282.0529	107122.3508	95003.95807	108632.7817				1	1	1	5	5	5	26.085	0.002089	1.6158	40754000	2	P55822	P55822	SH3 domain-binding glutamic acid-rich protein	SH3BGR	3005
3091123.79	3355741.138	3339498.418	3043711.103	2845597.142	2946151.113	3026879.894	2949624.757	3011393.902				3	1	1	27.2	8.7	8.7	11.637	0.00095836	2.0203	7617100000	7	P55854;P55854-2	P55854;P55854-2	Small ubiquitin-related modifier 3	SUMO3	3006
149544540.4	155291109.9	153461338.2	140208638.7	149503083.6	149171842.6	143880915.2	140150339.7	152137440.7				37	37	37	47.1	47.1	47.1	92.48	0	323.31	20851000000	149	P55884;P55884-2	P55884;P55884-2	Eukaryotic translation initiation factor 3 subunit B	EIF3B	3007
1424574.855	1502256.778	1523755.503	1379295.364	1379964.765	1385523.74	1404864.931	1336010.578	1336103.187				5	5	5	35.9	35.9	35.9	21.994	0	75.53	1787500000	22	P55957;P55957-2;P55957-4;P55957-3	P55957;P55957-2	BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11	BID	3008
6962625.518	7122735.566	7104984.148	6959248.05	7328060.583	7476336.118	7237198.945	6747398.785	7160852.897				2	2	2	49	49	49	5.7407	0	8.494	1121200000	3	P56134-4;P56134-3;P56134-2;P56134	P56134-4;P56134-3;P56134-2;P56134	"ATP synthase subunit f, mitochondrial"	ATP5J2	3009
494085.0918	460231.4346	503070.1279	408138.7031	427095.7452	444831.6763	467206.2344	415647.2094	441391.7075				2	2	2	3.9	3.9	3.9	50.838	0	4	52551000	4	P56159-2;P56159	P56159-2;P56159	GDNF family receptor alpha-1	GFRA1	3010
116817.7518	108002.1121	121247.8803	106759.1353	138248.0878	122048.9197	133141.426	135741.2803	132570.4768				3	1	1	26.9	14.8	14.8	11.94	0	6.6416	23503000	3	P56181	P56181	"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial"	NDUFV3	3014
16847135.77	15777879.62	17850980.7	13693614.81	16961965.28	16446759.24	17865834.91	16944338.74	17590583.46				22	22	20	55.4	55.4	52.6	50.983	0	323.31	6394400000	50	P56181-2	P56181-2	"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial"	NDUFV3	3015
46392877.64	49194715.03	49478553.91	47667413.2	49643448.48	52539531.5	49208356.6	45995838.42	51383434.92				23	23	23	44	44	44	52.839	0	323.31	22383000000	64	P56182	P56182	Ribosomal RNA processing protein 1 homolog A	RRP1	3016
24468121.34	22927885.91	24547963.37	20540956.11	22203749.71	22386101.94	22701747.19	21667058.92	23598633.73				28	28	28	37.7	37.7	37.7	101.11	0	205.69	4793300000	95	P56192;P56192-2	P56192;P56192-2	"Methionine--tRNA ligase, cytoplasmic"	MARS	3017
5382705.262	5032347.089	5416389.282	4807981.786	5156282.94	4853519.979	5252234.864	5302715.806	5113926.518				4	4	4	3.4	3.4	3.4	130.85	0	55.844	662620000	7	P56199	P56199	Integrin alpha-1	ITGA1	3018
19247930.47	16904453.02	17421916.49	12100807.6	17420708.94	14827787.41	15421074.97	16085974.47	16362615.05				8	7	7	60.7	50.9	50.9	12.323	0	48.414	5052300000	16	P56211;P56211-2	P56211;P56211-2	cAMP-regulated phosphoprotein 19	ARPP19	3019
44518449.15	34512125.69	44536967.71	27128388.23	36879097.12	36578688.16	30831462.71	30546420.59	37495132.87				18	18	15	37.9	37.9	33.1	51.072	0	53.822	14790000000	67	P56270-2;P56270;P56270-3;P56270-4	P56270-2;P56270;P56270-3	Myc-associated zinc finger protein	MAZ	3020
130383.3389	115193.517	111989.1936	104612.8102	110256.1802	130727.216	129761.2413	122099.689	134151.1596				4	4	3	51.5	51.5	39.7	7.7469	0	3.4023	609700000	5	P56277	P56277	Cx9C motif-containing protein 4	CMC4	3021
333401.2528	388512.0985	323028.0678	348548.5258	356316.5577	356020.3051	338453.9433	331258.971	382499.9411				5	5	5	11.2	11.2	11.2	56.417	0	5.6115	362990000	9	P56282-2;P56282-3;P56282	P56282-2;P56282-3;P56282	DNA polymerase epsilon subunit 2	POLE2	3022
950284.5182	977271.5721	1011734.98	870086.917	948902.2817	932730.0033	983864.4233	867677.865	957491.3977				4	4	1	25.5	25.5	10.2	18.615	0	40.489	139710000	10	P56377	P56377	AP-1 complex subunit sigma-2	AP1S2	3023
604549.1038	574361.6905	595482.6712	528777.0365	548031.7682	527057.194	576915.3003	548411.7666	553490.8723				4	1	1	17.3	5.4	5.4	23.225	0	2.9754	57374000	2	P56377-2	P56377-2	AP-1 complex subunit sigma-2	AP1S2	3024
8103984.589	7943811.728	8132119.586	7492937.567	7668431.029	6817446.297	7211160.39	6655427.927	6972284.46				5	5	5	51	51	51	5.7797	0	3.8185	969340000	6	P56381;Q5VTU8	P56381;Q5VTU8	"ATP synthase subunit epsilon, mitochondrial;ATP synthase subunit epsilon-like protein, mitochondrial"	ATP5E;ATP5EP2	3025
1681946.05	1818351.905	1766913.521	1481985.601	1554156.116	1394774.053	1596410.232	1561174.097	1497474.494				6	5	5	72.5	63.8	63.8	7.9331	0	9.1012	1081900000	24	P56385	P56385	"ATP synthase subunit e, mitochondrial"	ATP5I	3026
1519431.284	1567028.513	1815958.749	1451184.982	1757751.872	1645848.373	1784143.22	1644593.954	1650990.056				10	6	6	8.5	6.5	6.5	106.37	0	136.42	533920000	11	P56524-2;P56524;Q9UKV0-10;Q9UKV0-3;Q9UKV0-4;Q9UKV0-2;Q9UKV0	P56524-2;P56524	Histone deacetylase 4	HDAC4	3027
37803068.29	41341861.08	37251624.36	37677502.46	37025092.4	42327736.32	39334720.59	40626000.3	41537181.79				9	9	9	41.2	41.2	41.2	26.599	0	166.38	14478000000	57	P56537;P56537-2	P56537;P56537-2	Eukaryotic translation initiation factor 6	EIF6	3028
6622754.734	6691508.265	6761444.205	6091643.149	6392726.758	6532935.657	6722656.477	6681312.001	6668357.405				15	9	9	39.3	31	31	48.944	0	107.42	5697800000	36	P56545;P56545-2	P56545;P56545-2	C-terminal-binding protein 2	CTBP2	3029
2314389.095	1871158.06	2119951.752	1546204.81	1940907.59	1835955.932	1824285.376	1914717.341	1883520.102				6	6	6	34.4	34.4	34.4	17.871	0	9.1564	702470000	11	P56556	P56556	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	NDUFA6	3030
62814.06432	53516.64297	52389.8605	52768.88941	38669.27244	48318.9003	45255.32696	45145.66992	58493.95832				1	1	1	10.9	10.9	10.9	21.487	0	12.122	5411600	1	P56559;P56559-2	P56559;P56559-2	ADP-ribosylation factor-like protein 4C	ARL4C	3032
325884.2268	353977.9576	339205.4913	319044.9118	320707.8185	304440.3377	293479.4579	314870.7023	298216.3849				4	4	4	11.5	11.5	11.5	42.139	0	25.748	70723000	5	P56589	P56589	Peroxisomal biogenesis factor 3	PEX3	3033
830430.5539	932471.4315	1118783.926	1038881.736	1084200.39	1135817.803	1242229.239	1144987.169	1187009.458				5	5	5	15	15	15	34.475	0	77.49	530230000	6	P56937-3;P56937-2;P56937	P56937-3;P56937-2;P56937	3-keto-steroid reductase	HSD17B7	3037
1239906.584	1171560.478	1246714.766	1147132.015	1195431.473	1211783.05	1329083.21	1252257.655	1202495.446				10	10	9	14.8	14.8	13.5	95.468	0	139.98	609620000	18	P56945-2;P56945-4;P56945-5;P56945-8;P56945;P56945-7;P56945-3;P56945-6	P56945-2;P56945-4;P56945-5;P56945-8;P56945;P56945-7;P56945-3;P56945-6	Breast cancer anti-estrogen resistance protein 1	BCAR1	3038
5297939.727	4744090.168	5205480.828	4596804.884	4935620.366	5061382.235	5450661.888	4816988.336	5134883.093				10	10	10	40.1	40.1	40.1	33.403	0	182.94	2999100000	20	P56962	P56962	Syntaxin-17	STX17	3039
2382260.913	2439070.452	2492565.525	1901227.838	2407993.388	2445672.848	2291244.521	2081944.241	2526659.807				13	13	13	14.6	14.6	14.6	135.67	0	116.46	540430000	18	P57071-2;P57071-3;P57071;P57071-6;P57071-5	P57071-2;P57071-3;P57071	PR domain zinc finger protein 15	PRDM15	3042
93605.13143	91926.93379	91589.8432	73181.93794	94668.70718	77022.90946	80936.34054	69239.13112	75062.2544				3	3	2	11.2	11.2	8.7	47.314	0	13.471	37453000	2	P57073	P57073	Transcription factor SOX-8	SOX8	3043
7758788.667	7744818.505	7680666.088	7327552.658	8585079.123	7420577.31	8090514.387	7721233.971	8939731.061				11	11	11	54.8	54.8	54.8	33.224	0	270.88	5540900000	25	P57076	P57076	UPF0769 protein C21orf59	C21orf59	3044
5866221.03	5810375.616	5988652.543	4950353.089	5472998.384	5037232.879	5162720.268	4937673.46	5434440.198				15	15	15	49.3	49.3	49.3	45.489	0	141.82	2834000000	28	P57081;P57081-2;P57081-3	P57081;P57081-2;P57081-3	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	WDR4	3047
1921764.336	1531060.647	1887179.21	1567245.764	1891500.858	1674501.224	1920432.732	1795930.388	1634592.965				3	3	3	13.1	13.1	13.1	33.207	0	24.762	202860000	10	P57087;P57087-2;P57087-3	P57087;P57087-2;P57087-3	Junctional adhesion molecule B	JAM2	3048
1276268.108	1250089.537	1310512.787	1026498.437	1197089.842	1166374.78	1261667.219	1135817.803	1253907.939				3	3	3	15.8	15.8	15.8	27.978	0	48.674	368890000	14	P57088	P57088	Transmembrane protein 33	TMEM33	3049
3187071.6	3072113.315	3116510.192	2820070.893	3016616.774	3268506.193	3465903.366	3279626.29	3118454.978				6	6	6	42.1	42.1	42.1	15.928	0	19.815	1341200000	21	P57105	P57105	Synaptojanin-2-binding protein	SYNJ2BP	3051
10983998.52	11421113.68	11148142.4	9885619.862	10463774.36	10869633.79	10914933.46	9877400.653	10494281.07				17	17	17	18	18	18	120.04	0	64.367	7231400000	39	P57678	P57678	Gem-associated protein 4	GEMIN4	3052
2184694.316	2235552.506	2282368.009	1995197.318	2194103.27	2403824.267	2477236.195	2348161.165	2291562.177				15	15	13	38	38	33	38.828	0	234.62	553980000	12	P57682;P57682-2	P57682;P57682-2	Krueppel-like factor 3	KLF3	3053
590836.7341	445943.0641	559120.6099	401349.6183	477089.3645	495662.985	525415.7783	542513.6832	514388.9052				3	2	2	10.7	8.7	8.7	41.481	0	50.437	116670000	8	P57723;P57723-2	P57723;P57723-2	Poly(rC)-binding protein 4	PCBP4	3055
1127424.974	1267100.917	1108824.8	1064024.544	1162984.147	1309060.188	1200330.281	1082323.241	1150795.457				2	2	2	10	10	10	23.712	0.00010949	2.546	121600000	3	P57729	P57729	Ras-related protein Rab-38	RAB38	3056
53420864.97	52765806.65	55056135.04	49109540.91	51755182.57	50385315.7	52627006.54	51511813.64	51163087.77				33	33	6	41	41	6.3	114.16	0	284.59	22494000000	95	P57737-3;Q9Y3D7	P57737-3	Coronin-7	CORO7	3058
47089432.49	47027457.49	46936274.54	42954323.05	45356311.96	45387761.46	46913506.44	46024541.07	46296506.59				32	32	32	38.6	38.6	38.6	106.37	0	323.31	13474000000	83	P57740;P57740-2;P57740-3	P57740;P57740-2;P57740-3	Nuclear pore complex protein Nup107	NUP107	3059
458988.9831	424940.1099	441269.3446	415359.2046	403973.183	447088.2174	471467.8927	441299.9322	428608.222				4	4	4	21.9	21.9	21.9	35.566	0	24.309	72048000	5	P57768-2;P57768	P57768-2;P57768	Sorting nexin-16	SNX16	3060
10273326.03	9463877.704	10532904.6	8962687.719	10110843.33	9600645.646	10694013	10247012.36	10428295.26				11	11	11	20.8	20.8	20.8	65.304	0	48.874	1941900000	33	P57772;P57772-2	P57772;P57772-2	Selenocysteine-specific elongation factor	EEFSEC	3061
7197178.455	7049551.285	7441695.868	6770824.057	6837322.288	6819336.757	7711606.466	7340770.153	7341787.871				10	10	10	20	20	20	54.493	0	278.87	1710100000	24	P58004	P58004	Sestrin-2	SESN2	3062
542100.1949	601206.0493	578717.6022	468081.4283	563399.9851	544397.1543	584766.0382	564925.0701	585536.6705				4	3	3	9.8	8	8	38.772	0	15.84	88181000	2	P58012	P58012	Forkhead box protein L2	FOXL2	3063
91686119.32	105670687.9	94159283.07	106192011.5	100012147.5	103030768.6	90914054.27	94702554.13	98607907.01				103	95	95	54.4	47.1	47.1	555.61	0	323.31	53646000000	285	P58107	P58107	Epiplakin	EPPK1	3064
197473.5632	210943.9229	213829.2961	191674.6474	198654.2317	186213.7397	222123.1138	199426.8312	171577.3989				6	6	6	17.7	17.7	17.7	44.694	0	62.42	264250000	6	P58317	P58317	Zinc finger protein 121	ZNF121	3065
219219364.2	224555995.4	229528808.7	208909086.1	225132640.8	214217336.4	201834841.7	204439680.4	218233902.5				8	8	8	50	50	50	12.895	0	137.24	40517000000	72	P58546	P58546	Myotrophin	MTPN	3068
4195757.887	4070571.699	4207115.515	4027630.768	3983761.92	4281544.828	3868921.43	3790613.677	4208573.842				4	4	4	28.2	28.2	28.2	14.268	0.00010994	2.6001	569650000	9	P58557-2;P58557;P58557-4;P58557-3	P58557-2;P58557;P58557-4;P58557-3	Putative ribonuclease	YBEY	3069
153757.7922	169414.7545	202575.4753	156564.7602	183981.3495	181335.2658	171613.0811	185865.5671	200313.4822				3	2	2	16	10.8	10.8	24.39	0	4.6044	88586000	4	P59190	P59190	Ras-related protein Rab-15	RAB15	3073
5022937.872	4950009.969	5396153.659	4141436.966	4707403.207	4264366.486	4420873.431	4294325.15	4424858.837				3	3	3	63.4	63.4	63.4	7.8501	0	34.11	744410000	9	P59768	P59768	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	3074
424263.1938	422297.4471	403721.25	316467.9777	379095.0255	364990.6547	380543.0114	359242.8705	391404.2783				7	7	6	8	8	7.2	118.96	0	13.795	276900000	7	P59923	P59923	Zinc finger protein 445	ZNF445	3076
9105457.021	9080875.715	8654385.771	8387445.173	7748040.154	8604142.572	8560122.43	8669996.618	8564870.486				10	10	10	54.8	54.8	54.8	19.667	0	36.94	7078900000	32	P59998;P59998-3;P59998-2;P59998-4	P59998;P59998-3;P59998-2	Actin-related protein 2/3 complex subunit 4	ARPC4	3077
117182.6942	133789.002	115137.6383	109040.1556	124251.1776	122158.9465	121483.4281	127328.8664	127806.3507				1	1	1	21.7	21.7	21.7	9.4618	0	19.145	25050000	4	P60002	P60002	Transcription elongation factor 1 homolog	ELOF1	3078
6998430.586	6769416.25	6940460.701	5861343.674	6233452.438	6486910.035	6609913.676	6553344.757	6756759.153				6	6	6	31.8	31.8	31.8	25.809	0	72.832	5230600000	33	P60033	P60033	CD81 antigen	CD81	3079
72079.4309	62505.69406	63894.3171	63237.81939	51333.03713	67720.26508	64512.89775	55265.82464	52513.47331				2	2	2	36.8	36.8	36.8	7.7412	0	4.0111	388300000	6	P60059	P60059	Protein transport protein Sec61 subunit gamma	SEC61G	3080
565911023.8	567797005.7	566264167.6	563562353.3	596108622.2	639159165.7	536015693.6	565754141.7	610197065.1				21	21	21	89.2	89.2	89.2	26.669	0	303.89	2.8396E+11	246	P60174-1;P60174;P60174-4	P60174-1;P60174;P60174-4	Triosephosphate isomerase	TPI1	3081
50458710.43	49905656.17	49276621.17	44119099.22	49967960.56	54279345.91	52144075.13	52627006.54	54151576.37				22	22	22	46.5	46.5	46.5	52.22	0	323.31	24818000000	96	P60228	P60228	Eukaryotic translation initiation factor 3 subunit E	EIF3E	3082
1057114.34	831409.6687	903334.0095	792746.4576	837366.6877	919124.0098	896161.9829	881866.0436	941825.3311				4	4	4	41.7	41.7	41.7	9.9743	0	10.856	408470000	12	P60468	P60468	Protein transport protein Sec61 subunit beta	SEC61B	3083
324576.7196	306855.5177	324689.2288	249244.1296	272821.9129	241238.3923	268935.3731	248037.7187	268413.9263				5	5	5	12.5	12.5	12.5	64.881	0	68.234	88118000	8	P60484-2;P60484	P60484-2;P60484	"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"	PTEN	3084
3674457.922	3801401.557	3981829.455	3722911.782	3868921.43	3967503.321	3975210.977	3992884.75	3805883.579				12	11	11	59	54.1	54.1	35.08	0	323.31	3553500000	25	P60510	P60510	Serine/threonine-protein phosphatase 4 catalytic subunit	PPP4C	3085
89406.98951	101252.6401	92348.44191	79111.51063	82071.85834	103222.6465	102218.7267	101992.2496	94694.95856				3	2	2	31.6	22.2	22.2	13.667	0.00032651	2.4328	26184000	6	P60520	P60520	Gamma-aminobutyric acid receptor-associated protein-like 2	GABARAPL2	3086
150551.755	154805.8001	174032.8348	158091.4698	163269.9771	163973.1417	182040.509	178059.5143	171137.9276				1	1	1	12.7	12.7	12.7	8.1828	0.0084599	1.124	12045000	1	P60602	P60602	Reactive oxygen species modulator 1	ROMO1	3087
237209.1278	239555.4317	252163.5107	226115.4428	249728.3354	242596.6327	234625.4522	237785.2993	249054.1629				6	6	6	38.8	38.8	38.8	18.566	0	9.964	96177000	13	P60604;P60604-2	P60604;P60604-2	Ubiquitin-conjugating enzyme E2 G2	UBE2G2	3088
129735674.2	129295784.7	128269239.9	125472851.3	129224107.7	132967645.3	129376468.7	129250981.9	132691434.1				14	14	12	88.7	88.7	72.8	16.961	0	255.33	29359000000	84	P60660-2;P60660	P60660-2;P60660	Myosin light polypeptide 6	MYL6	3089
98164632.69	104868052.9	102297808.6	98778929.63	97845353.11	96431422.88	93957174.94	95182961.03	95374483.28				30	1	1	80.8	4.5	4.5	41.736	0	123.93	41762000000	59	P60709;Q6S8J3;A5A3E0;P0CG38;P0CG39;Q9BYX7	P60709	"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed"	ACTB	3090
643687.0862	673258.027	714265.0478	704236.267	557688.5015	648388.9596	672558.3904	693578.6673	784166.2364				7	3	3	38.5	18.8	18.8	21.379	0	12.243	170750000	9	P60763	P60763	Ras-related C3 botulinum toxin substrate 3	RAC3	3091
201094725.4	227785393.8	214351013.8	203675894	207250451	210289270.3	213121366.9	209765183.4	218673021.5				28	28	11	67	67	36	46.153	0	323.31	52198000000	234	P60842;P60842-2	P60842;P60842-2	Eukaryotic initiation factor 4A-I	EIF4A1	3092
8326622.569	8003502.161	8503940.075	7583855.262	8493925.357	8376986.977	8499814.939	8533463.617	8763039.917				9	9	9	55.5	55.5	55.5	13.373	0	33.198	15857000000	38	P60866;P60866-2	P60866;P60866-2	40S ribosomal protein S20	RPS20	3093
60549008.5	67524138.85	64885824.79	60708702.35	61881292.73	55201341.81	58235679.89	56572594.47	57116332.12				19	19	5	57.2	57.2	15.7	34.834	0	199.72	18212000000	110	P60891;P60891-2	P60891;P60891-2	Ribose-phosphate pyrophosphokinase 1	PRPS1	3094
